,train_missing_pct,test_missing_pct,abs_difference_pct
Количество кресел,9.760191846522783,10.478359908883828,0.7181680623610447
Двери,9.19664268585132,9.830955520920753,0.6343128350694336
Локация,2.553956834532374,2.8293969548015827,0.2754401202692085
Тип кузова,1.5947242206235013,1.7503896415297926,0.15566542090629132
Тип машины,0.15587529976019185,0.15585661191703631,1.8687843155534845e-05
car_id,0.0,0.0,0.0
Полное название,0.0,0.0,0.0
Модель,0.0,0.0,0.0
Год выпуска,0.0,0.0,0.0
Бренд,0.0,0.0,0.0
Исползование,0.0,0.0,0.0
КПП,0.0,0.0,0.0
Двигатель,0.0,0.0,0.0
Привод,0.0,0.0,0.0
Цвет,0.0,0.0,0.0
Пробег,0.0,0.0,0.0
Расход,0.0,0.0,0.0
Топливо,0.0,0.0,0.0
Количество цилиндров,0.0,0.0,0.0
Оценка эксперта,0.0,0.0,0.0
Количество владельцев,0.0,0.0,0.0
Предложение,0.0,60.08871837909123,60.08871837909123
