car_id,source_count,total_rows_in_sources,in_y_train,in_X_base
000b82cb-adcd-4e61-9b0a-8ef6f0d122a3,1,5,True,False
000f5560-2482-4127-8a77-2f34d0174741,1,3,True,False
0011dbaa-8c63-4055-8e08-c2ddd5b4c053,1,10,True,False
001434e5-158a-4237-aaf2-caa497a25a3c,1,5,True,False
001c39b1-ff0b-4ae9-9e31-1df175fe1d37,1,9,True,False
0020f4e0-76e9-4019-b0b2-ecf20e7efb71,1,10,True,False
0024688d-3d3d-4a81-9e6f-cc766f3e086f,1,7,True,False
002f835a-ccd0-43da-97c1-7be127635ced,1,3,True,False
00498787-62fd-4a11-a561-3fa8ab5251b2,1,3,True,False
004d8ee0-afdc-4a1b-9ddd-be7f3ec8e641,1,3,True,False
004de922-792a-4c73-9db0-7c01a4d0ef50,1,7,True,False
004f8a22-78dc-42c7-a00c-9c5b2ea08964,1,7,True,False
0053d74a-7272-4a37-acf9-63d2d05aa4bd,1,9,True,False
005a5016-7fa5-4d0a-be1f-e12cb9870f6b,1,11,True,False
00631760-c18b-4944-9159-6b1ac12337f7,1,9,True,False
00669521-2ed7-4f9d-adc2-9e19c70d54d6,1,11,True,False
006bb28c-2f38-4dd0-ae09-086e2eccb9fb,1,2,True,False
0070cd6d-1fc5-4c25-9d64-193761476ed3,1,2,True,False
007708c7-765a-4b79-80cb-f6decda28f8d,1,6,True,False
007bf2e7-6917-4a6a-9a8f-dba7a3559010,1,1,True,False
007c76df-dff6-4b02-934d-ca0696eec40e,1,2,True,False
007dca41-a0ca-430f-bb1e-b1f302e36b80,1,7,True,False
00831d00-821a-4211-ab88-469a109628eb,1,2,True,False
0085e56b-b9af-4ea1-8dfc-888332b23315,1,3,True,False
008e6e1e-2134-48ff-bd78-f63673fa511e,1,8,True,False
008f3c33-75ce-44d0-a592-a5a00071f376,1,8,True,False
0095f854-c4d3-41fa-9b9b-01f338f28053,1,6,True,False
009b81db-7fbe-468b-8412-aebb95909c53,1,4,True,False
009cc20f-3cbc-43f5-808a-9182cb2d2668,1,2,True,False
009f9944-a29d-475a-b72d-75db17841f03,1,10,True,False
00a4eb40-4e7f-4163-b197-2a97945c88c5,1,11,True,False
00a59b61-2dce-470f-9c68-4b5e396a2daa,1,11,True,False
00b04858-f3b1-408d-a3da-e0b1b0056a7a,1,7,True,False
00b3162a-92d7-4fbe-8df4-3774aa49cbdd,1,10,True,False
00b79a46-97b6-482b-8fe4-3a8b1acf777f,1,9,True,False
00be8f13-ba39-43f1-89ed-25e84827c9a4,1,3,True,False
00bf6e74-34ba-49bc-9378-f812660547fa,1,5,True,False
00cccafc-5b61-4c59-9868-ca7819ae25d1,1,7,True,False
