relative_path,dataset_folder,file_name,extension,size_mb
dataset_1\data.csv,dataset_1,data.csv,.csv,0.038
dataset_10\data.csv,dataset_10,data.csv,.csv,0.21
dataset_11\data.csv,dataset_11,data.csv,.csv,0.205
dataset_12\data.csv,dataset_12,data.csv,.csv,0.2
dataset_13\data.parquet,dataset_13,data.parquet,.parquet,0.047
dataset_14\data.parquet,dataset_14,data.parquet,.parquet,0.046
dataset_15\data.csv,dataset_15,data.csv,.csv,0.202
dataset_16\data.parquet,dataset_16,data.parquet,.parquet,0.046
dataset_17\data.json,dataset_17,data.json,.json,1.532
dataset_18\data.parquet,dataset_18,data.parquet,.parquet,0.047
dataset_19\data.json,dataset_19,data.json,.json,1.61
dataset_2\data.csv,dataset_2,data.csv,.csv,0.204
dataset_20\data.xlsx,dataset_20,data.xlsx,.xlsx,0.117
dataset_21\data.csv,dataset_21,data.csv,.csv,0.198
dataset_22\data.parquet,dataset_22,data.parquet,.parquet,0.046
dataset_23\data.json,dataset_23,data.json,.json,1.634
dataset_24\data.xlsx,dataset_24,data.xlsx,.xlsx,0.122
dataset_25\data.xlsx,dataset_25,data.xlsx,.xlsx,0.116
dataset_26\data.parquet,dataset_26,data.parquet,.parquet,0.046
dataset_27\data.parquet,dataset_27,data.parquet,.parquet,0.048
dataset_28\data.xlsx,dataset_28,data.xlsx,.xlsx,0.119
dataset_29\data.csv,dataset_29,data.csv,.csv,0.208
dataset_3\data.xlsx,dataset_3,data.xlsx,.xlsx,0.118
dataset_30\data.csv,dataset_30,data.csv,.csv,0.222
dataset_31\data.json,dataset_31,data.json,.json,1.564
dataset_32\data.csv,dataset_32,data.csv,.csv,0.211
dataset_33\data.xlsx,dataset_33,data.xlsx,.xlsx,0.121
dataset_34\data.xlsx,dataset_34,data.xlsx,.xlsx,0.114
dataset_35\data.xlsx,dataset_35,data.xlsx,.xlsx,0.122
dataset_36\data.csv,dataset_36,data.csv,.csv,0.211
dataset_37\data.json,dataset_37,data.json,.json,1.51
dataset_38\data.csv,dataset_38,data.csv,.csv,0.202
dataset_39\data.json,dataset_39,data.json,.json,1.54
dataset_4\data.parquet,dataset_4,data.parquet,.parquet,0.047
dataset_40\data.csv,dataset_40,data.csv,.csv,0.214
dataset_41\data.xlsx,dataset_41,data.xlsx,.xlsx,0.114
dataset_42\data.xlsx,dataset_42,data.xlsx,.xlsx,0.108
dataset_43\data.parquet,dataset_43,data.parquet,.parquet,0.047
dataset_44\data.csv,dataset_44,data.csv,.csv,0.209
dataset_45\data.csv,dataset_45,data.csv,.csv,0.204
dataset_46\data.parquet,dataset_46,data.parquet,.parquet,0.046
dataset_47\data.xlsx,dataset_47,data.xlsx,.xlsx,0.116
dataset_48\data.csv,dataset_48,data.csv,.csv,0.201
dataset_5\data.parquet,dataset_5,data.parquet,.parquet,0.046
dataset_6\data.parquet,dataset_6,data.parquet,.parquet,0.046
dataset_7\data.csv,dataset_7,data.csv,.csv,0.214
dataset_8\data.csv,dataset_8,data.csv,.csv,0.209
dataset_9\data.json,dataset_9,data.json,.json,1.571
X_test_base.csv,train_data,X_test_base.csv,.csv,1.782
baseline_for_students.ipynb,train_data,baseline_for_students.ipynb,.ipynb,0.025
car_id_coverage.csv,train_data,car_id_coverage.csv,.csv,0.423
data_files_inventory.csv,train_data,data_files_inventory.csv,.csv,0.003
datasets_profile.csv,train_data,datasets_profile.csv,.csv,0.024
source_audit.csv,train_data,source_audit.csv,.csv,0.002
y_train_base.csv,train_data,y_train_base.csv,.csv,0.342
