car_id,Бренд,Год выпуска,Модель,Тип машины,Полное название,Исползование,КПП,Двигатель,Привод,Топливо,Расход,Пробег,Цвет,Локация,Количество цилиндров,Тип кузова,Двери,Количество кресел,Оценка эксперта,Количество владельцев,Предложение
65e4207d-80c1-47a9-9ce8-51a5e5cfca5c,GWM,2022.0,HAVAL,SPRINGWOOD GWM HAVAL,2022 GWM HAVAL H6 ULTRA AWD,DEMO,Automatic,"4 cyl, 2 L",AWD,PREMIUM,9.8 L / 100 km,244,Grey / Black,"SPRINGWOOD, QLD",4 cyl,SUV, 4 Doors, 5 Seats,4,5,32145
331006ba-098d-4b5b-9f05-3cf9544c30ec,FORD,2014.0,TERRITORY,SUV,2014 FORD TERRITORY TITANIUM (4X4),USED,Automatic,"6 cyl, 2.7 L",AWD,DIESEL,9 L / 100 km,202408,White / -,"PENRITH, NSW",6 cyl,SUV, 4 Doors, 7 Seats,6,6,15949
43a44ee6-5293-4a42-a04f-faf3bf0967b4,NISSAN,2021.0,X-TRAIL,SUV,2021 NISSAN X-TRAIL TI (4WD),USED,Automatic,"4 cyl, 2.5 L",4WD,UNLEADED,8.3 L / 100 km,23301,White / -,"WEST FOOTSCRAY, VIC",4 cyl,SUV, 4 Doors, 5 Seats,4,7,39616
383affa3-d8da-4ad0-9bd7-91f48c1c00ac,VOLVO,2022.0,XC60,SUV,2022 VOLVO XC60 B5 MOMENTUM MHEV,USED,Automatic,"4 cyl, 2 L",AWD,HYBRID,7.6 L / 100 km,17359,White / Black,"SOUTH BUNBURY, WA",4 cyl,SUV, 4 Doors, 5 Seats,1,9,70449
e100c33a-b78c-479d-8edf-5734b2bde7fd,RENAULT,2018.0,KOLEOS,SUV,2018 RENAULT KOLEOS INTENS (4X4),USED,Automatic,"4 cyl, 2 L",4WD,DIESEL,6.1 L / 100 km,100456,White / -,"RINGWOOD, VIC",4 cyl,SUV, 4 Doors, 5 Seats,1,8,22895
85356769-9239-48d6-9c83-a918b7a8e66f,KIA,2019.0,PICANTO,HATCHBACK,2019 KIA PICANTO S (AEB),USED,Automatic,"4 cyl, 1.2 L",Front,UNLEADED,5.8 L / 100 km,58762,White / -,"VICTORIA PARK, WA",4 cyl,HATCHBACK, 5 Doors, 5 Seats,4,4,20659
5e974caa-66e1-4be3-8899-67dd5c116bb0,AUDI,2021.0,A1,HATCHBACK,2021 AUDI A1 30 TFSI S TRONIC,USED,Automatic,"3 cyl, 1 L",Front,PREMIUM,5.4 L / 100 km,16691,Grey / -,"RYDE, NSW",3 cyl,HATCHBACK, 5 Doors, 5 Seats,2,9,27832
97c4619a-0a2b-4f26-aa57-d5ccd780bd79,MITSUBISHI,2022.0,TRITON,UTE / TRAY,2022 MITSUBISHI TRITON GSR (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,DIESEL,8.6 L / 100 km,18407,Grey / -,"BUNGALOW, QLD",4 cyl,UTE / TRAY, 4 Doors, 5 Seats,8,2,50290
f9a39f6d-cfdb-475a-a2b2-d4a3d414cffe,TOYOTA,2019.0,RAV4,SUV,2019 TOYOTA RAV4 GX (2WD),USED,Automatic,"4 cyl, 2 L",Front,UNLEADED,6.5 L / 100 km,97790,White / Grey,"PAKENHAM, VIC",4 cyl,SUV, 5 Doors, 5 Seats,8,6,35064
c322cca0-b4f2-42be-b40a-df689287c6e0,FORD,2004.0,FAIRLANE,SEDAN,2004 FORD FAIRLANE GHIA,USED,Automatic,"8 cyl, 5.4 L",Rear,UNLEADED,15 L / 100 km,203910,- / -,"BLAIR ATHOL, SA",8 cyl,SEDAN, 4 Doors, 5 Seats,4,1,7466
abb8d654-cb62-4e8b-b951-4e1c6460f6ed,HYUNDAI,2018.0,TUCSON,SUV,2018 HYUNDAI TUCSON ACTIVE (FWD),USED,Automatic,"4 cyl, 2 L",Front,UNLEADED,7.9 L / 100 km,147444,White / Black,"RINGWOOD, VIC",4 cyl,SUV, 4 Doors, 5 Seats,6,5,23323
530b081b-7382-4486-966d-7907b644d5e8,LEXUS,2022.0,LX500D,SUV,2022 LEXUS LX500D SPORTS LUXURY,USED,Automatic,"6 cyl, 3.3 L",AWD,DIESEL,8.9 L / 100 km,618,- / -,"BELMORE, NSW",6 cyl,SUV, 4 Doors, 5 Seats,2,4,158606
6643a11e-6bf7-401d-af3c-40e6c0deeaa8,KIA,2016.0,SORENTO,SUV,2016 KIA SORENTO SI (4X4),USED,Automatic,"4 cyl, 2.2 L",AWD,DIESEL,7.8 L / 100 km,65746,Grey / Black  Cloth,"CABOOLTURE, QLD",4 cyl,SUV, 4 Doors, 7 Seats,1,3,28868
