dataset,rows,unique_car_id,duplicate_car_id_rows,exact_duplicate_rows,unique_ids_in_y_train,unique_ids_in_X_base,unique_ids_unknown,same_schema_as_X_base
dataset_1,174,174,0,0,174,0,0,True
dataset_2,1026,174,1006,399,174,0,0,True
dataset_3,1056,174,1038,392,174,0,0,True
dataset_4,1076,174,1066,411,174,0,0,True
dataset_5,993,174,973,383,174,0,0,True
dataset_6,979,174,961,357,174,0,0,True
dataset_7,1079,174,1062,450,174,0,0,True
dataset_8,1052,174,1036,409,174,0,0,True
dataset_9,1084,174,1072,430,174,0,0,True
dataset_10,1069,174,1052,423,174,0,0,True
dataset_11,1047,174,1031,396,174,0,0,True
dataset_12,1014,174,995,369,174,0,0,True
dataset_13,1109,174,1097,451,174,0,0,True
dataset_14,1039,174,1025,412,174,0,0,True
dataset_15,1028,174,1013,391,174,0,0,True
dataset_16,1056,174,1042,411,174,0,0,True
dataset_17,1057,174,1052,383,174,0,0,True
dataset_18,1069,174,1054,425,174,0,0,True
dataset_19,1110,174,1099,468,174,0,0,True
dataset_20,1062,174,1042,409,174,0,0,True
dataset_21,996,174,974,386,174,0,0,True
dataset_22,987,174,971,368,174,0,0,True
dataset_23,1128,174,1120,446,174,0,0,True
dataset_24,1096,174,1087,405,174,0,0,True
dataset_25,1034,174,1025,399,174,0,0,True
dataset_26,1053,174,1040,414,174,0,0,True
dataset_27,1103,174,1089,457,174,0,0,True
dataset_28,1067,174,1051,415,174,0,0,True
dataset_29,1063,174,1049,422,174,0,0,True
dataset_30,1108,174,1093,416,174,0,0,True
dataset_31,1079,174,1065,435,174,0,0,True
dataset_32,1073,174,1059,426,174,0,0,True
dataset_33,1096,174,1078,475,174,0,0,True
dataset_34,1022,174,1004,394,174,0,0,True
dataset_35,1105,174,1094,428,174,0,0,True
dataset_36,1062,174,1047,419,174,0,0,True
dataset_37,1042,173,1026,382,173,0,0,True
dataset_38,1023,173,1006,410,173,0,0,True
dataset_39,1062,173,1052,402,173,0,0,True
dataset_40,1071,173,1054,433,173,0,0,True
dataset_41,1025,173,1005,379,173,0,0,True
dataset_42,958,173,937,354,173,0,0,True
dataset_43,1067,173,1051,410,173,0,0,True
dataset_44,1061,173,1051,421,173,0,0,True
dataset_45,1035,173,1019,394,173,0,0,True
dataset_46,1018,173,1000,410,173,0,0,True
dataset_47,1045,173,1034,402,173,0,0,True
dataset_48,1021,173,1006,422,173,0,0,True
